Przemyslaw Stpiczynski	 2D constraint language
Eiman Elnahrawy	multiple description image transmission wireless fading channel forward error correction
Patrick Delfmann	multiple description image transmission wireless fading channel forward error correction
Arthur Ramer	multiplexing
Bixin Li	multiplexing
Jasper Berendsen	Multiplier design
Michael Fink	Multiplier design
Noah A. Smith	Multiplier design
Stefan Berchtold	Multiplier design
Louis Monier	multipoint connection
Lu&iacute;s Veiga	multipoint connection
Alexander C. Loui	Multi-port memories
Jon Atle Gulla	Multi-port memories
Martin L. Kersten	multiprocessing systems
Michael M. J. Zastre	multiprocessing systems
Roberto Cipolla	multiprocessing systems
Xavier Franch	multiprocessing systems
Fernando Gomez	multiprocessor
Mario A. Nascimento	multiprocessor
Michael J. Schulte	multiprocessor
Patrick Lincoln	multiprocessor
Rahul Shah	Multiprocessor
Roberto Cordeschi	multiprocessor
Ten-Hwang Lai	Multiprocessor
Thomas W. Malone	multiprocessor
David Lorge Parnas	multiprocessor interconnection networks
Kim-Fung Man	multiprocessor interconnection networks
Martin Halvey	multiprocessor interconnection networks
Murali Sitaraman	multiprocessor interconnection networks
Owen L. Astrachan	multiprocessor interconnection networks
Ricardo da Silva Torres	multiprocessor interconnection networks
Sergio Rajsbaum	multiprocessor interconnection networks
Stuart M. Shieber	multiprocessor interconnection networks
Vishwanath Raman	multiprocessor interconnection networks
Eckehard G. Steinbach	multiprocessor systems
H&aring;kan L. S. Younes	Multiprocessor systems
James Fogarty	Multiprocessor systems
Nicholas Negroponte	multiprocessor systems
Nicholas Pippenger	multiprocessor systems
Floris Geerts	Multiprocessors
Georgia Sakellari	multiprocessors
Jan S&uuml;rmeli	multiprocessors
Maribeth Gandy	multiprocessors
Mario M&eacute;ndez-Lojo	multiprocessors
Markus Flierl	multiprocessors
Max Tuengerthal	multiprocessors
Ngoc Thanh Nguyen	multiprocessors
Nicola Ferro	Multiprocessors
Qing Yang	multiprocessors
William F. Ogden	multiprocessors
Pramod Kumar Meher	Multiresolution
Rainer Kuhlen	Multiresolution
Thomas Ruf	Multiresolution
Vwani P. Roychowdhury	Multiresolution
Assaf Naor	multi-resolution
Gregory M. Nielson	multi-resolution
Nick Cercone	multi-resolution
Rainer Maximini	Multisensor data
Randy H. Katz	Multisensor data
Bernardo Cuenca Grau	Multistage switching networks
Mikko Koivisto	Multistage switching networks
Natalia Manola	Multistrategy Learning
Yury Lifshits	Multistrategy Learning
Elvira Albert	multitasked parallel architectures
Francesco Ranzato	multitasked parallel architectures
Michael Schiwietz	multitasked parallel architectures
Paul J. M. Havinga	multitasked parallel architectures
Fernando J. Corbat&oacute;	Multithreaded architecture
Guido Wirtz	Multithreaded architecture
Mariano P. Consens	Multithreaded architecture
Volker Markl	Multithreaded architecture
Yoshihisa Shinagawa	Multithreaded architecture
Lambert G. L. T. Meertens	multithreaded microcontroller
Massimo Felici	multithreaded microcontroller
Ramesh Harjani	multithreaded microcontroller
Roger Mohr	multithreaded microcontroller
Jamie Simpson	Multithreading
Pu Li	Multithreading
Zicheng Liu	Multithreading
Christian S. Collberg	multivalued functions
Katherine A. Yelick	multivalued logic
Liang Xiao 0002	multivalued logic
Lutz Schlesinger	multivalued logic
Ant&oacute;nio R. C. Paiva	multivalued logic circuits
Katherine Everitt	multivalued logic circuits
Lutz Volkmann	multivalued logic circuits
Sailesh Krishnamurthy	Multivariate cryptography
Barry Smith	multivariate log-concave distributions
Ali Momeni	Multi-view geometry
Nicolas Pasquier	Multi-view geometry
Jir&iacute; Sim&aacute;cek	Multiway joins
Sanghamitra Bandyopadhyay	Multiway joins
Bernhard A. Schrefler	Musical gesture sensing
Panagiotis Takis Metaxas	Musical gesture sensing
Jan Paredaens	Mutual exclusion
Jos&eacute; Mar&iacute;a Carazo	Mutual exclusion
Jouko A. V&auml;&auml;n&auml;nen	Mutual exclusion
Andreas Dengel	MVC
Klaus D. M&uuml;ller-Glaser	MVC
Rainer Tichatschke	name resolution
S. Sudarshan	name resolution
Kent E. Seamons	nanotechnology
Lars Grunske	nanotechnology
Marie-Christine Lagasquie-Schiex	nanotechnology
Joachim Denzler	Nash equilibria
Katharina T. Huber	Nash equilibria
Katherine A. Yelick	Nash equilibria
Laurent Bonnaud	Nash equilibria
Laurent D. Cohen	Nash equilibria
Ana Tereza R. Vasconcelos	Natural Language Processing
Michael Hohmuth	Natural Language Processing
Piotr Br&oacute;dka	Natural Language Processing
Marc Sebban	Natural language requirements
Martina Seidl	Natural language requirements
Harry A. G. Wijshoff	natural phenomena
L'H&eacute;di Zaher	natural phenomena
Jun-ichi Tsujii	Natural scale selection
Kay R&ouml;mer	Natural scale selection
Kimon P. Valavanis	Natural scale selection
Leonidas Fegaras	Natural scale selection
Stefan Kramer	natural scenes
Thomas Kailath	natural scenes
Janne Koljonen	Nautilus
Mark Allen Weiss	Nautilus
Jir&iacute; Srba	nearest neighbor queries
Massimo Piccardi	nearest neighbor queries
Sebastiano Battiato	Nearest Neighbor Search
Walter L. Ruzzo	Nearest Neighbor Search
Lucio Benfante	Near-field radio
Maurizio Morisio	Near-field radio
Jason I. Hong	Nearness
Markus Rupp	Nearness
Gregory M. Nielson	Near-optimal polygon meshes 
Refik Molva	Near-optimal polygon meshes 
Viviana Patti	Near-optimal polygon meshes 
Jeffrey Dean	negotiation support systems
Mariano P. Consens	negotiation support systems
Olli Silv&eacute;n	negotiation support systems
Ernesto Pimentel	network and system support for multimedia
George B. Mertzios	network and system support for multimedia
Walid G. Aref	network and system support for multimedia
Rajiv M. Dewan	network calculus
Sven Casteleyn	network calculus
Paolo Torrini	network design
Tania Stathaki	network design
Tom Rodden	network design
Matthias Majuntke	network flow
Jean-Louis Lanet	Network management
Tal Malkin	Network management
Markus G&auml;lli	network of workstations.
Maxim Likhachev	network of workstations.
Jacques F. Vallee	Network optimization
John F. Horty	Network optimization
Mike Neubig	Network optimization
Mike Thelwall	Network optimization
Roger Eggen	Network optimization
Ross D. King	Network optimization
Gilles Barthe	Network Protocol Design
Kazunori Ueda	Network Protocol Design
Michael E. Tipping	Network Protocol Design
Marc Ehrig	network routing
Mark A. H&ouml;pflinger	network routing
Alfred Tarski	Network Security
Alfred V. Aho	Network Security
Hanping Lufei	Network Security
Koichi Kise	Network Security
Luca Cardelli	Network Security
Marco M. Carvalho	Network security
Michael Huth	Network security
Michael I. Jordan	network security
Shivnath Babu	Network Security
Stephen Y. Chen	Network Security
Steve Berczuk	Network Security
Yury Lifshits	Network Security
Andrew J. Malton	network security policy
Olivier Billet	network security policy
Simone Ceolin	network servers
Yang Wang 0001	network servers
Yi Zhuang	network servers
Albrecht Schmidt	Network simulation
Gilbert Ritschard	Network simulation
Joanne M. Atlee	Network simulation
Mario Pukall	Network simulation
Stephen R. Schach	Network simulation
Chang-Tsun Li	network topology
Eckhard Kruse	network topology
Jorge Urrutia	network topology
Martin Hardwick	network topology
Michael Benedikt	network topology
Mooi Choo Chuah	network topology
Richard D. Schlichting	network topology
Roberto Trasarti	network topology
Ronald H. Perrott	network topology
Shawn A. Bohner	network topology
Tai-Hoon Kim	network topology
Douglas M. Blough	Network visualization
Shi-Min Hu	Network visualization
Sorel Reisman	Network visualization
Mark Aagaard	Network-based computing
Martin M&uuml;ller	Network-based computing
Rephael Wenger	Network-based computing
James Hein	Network-conscious
Klaus Obermayer	Network-conscious
Deborah Estrin	Networking
Kenneth Salem	Networking
Martin Sk&ouml;ld	Networking
Pedro DeRose	Networking
Traugott Koch	Networking
Emilio L. Zapata	Neugebauer model
Olaf Delgado Friedrichs	Neugebauer model
Paolo Grigolini	Neugebauer model
Teruo Higashino	Neugebauer model
Ana Carolina Olivera	neural nets
Olivier Dameron	neural nets
Pando G. Georgiev	neural nets
Pu Li	neural nets
Theresa Velden	neural nets
Michele Rucci	neural networks
Mohamed G. Gouda	neural networks
Paul R. Schrater	neural networks
Stefan Andrei	neuromorphic
Vincent D. Blondel	neuromorphic
Kuai Xu	Nevanlinna-Pick problem
Lukas Pichl	Nevanlinna-Pick problem
Bj&ouml;rn Victor	NLP
Eytan Adar	NLP
Markus H. Gross	NMR system
Robert S. Gray	NMR system
Catherine Beauchemin	node splitting
Manfred Broy	node splitting
Margo I. Seltzer	node splitting
Michael Herczeg	node splitting
Yamine A&iuml;t Ameur	node splitting
Gabriel Valiente	non-adaptive flow
Mario Dal Cin	non-adaptive flow
Mark E. J. Newman	non-adaptive flow
Marc Sebban	nonlinear constrained global optimization
Martin Hofmann	nonlinear constrained global optimization
Alasdair Urquhart	nonlinear image modeling
Marcin Bienkowski	nonlinear image modeling
Oren Etzioni	nonlinear image modeling
Charbel Farhat	Nonlinear shape statistics
Oliver Obst	Nonlinear shape statistics
Reinhard Kirchner	non-periodic tiling
Stephan Melzer	non-periodic tiling
Christian Becker	non-photorealistic rendering
Jutta Willamowski	non-photorealistic rendering
Keijo Heljanko	non-photorealistic rendering
Krishnamurthy Dvijotham	non-photorealistic rendering
Luiz Chaimowicz	non-photorealistic rendering
Luiz Fernando Capretz	non-photorealistic rendering
Mila E. Majster-Cederbaum	non-photorealistic rendering
Natalia Manola	non-photorealistic rendering
Natalia V. Andrienko	Non-photorealistic rendering
Partha S. Roop	non-photorealistic rendering
Partha Sarathi Dutta	Non-photorealistic rendering
Rajiv M. Dewan	non-photorealistic rendering
Rajiv V. Dubey	Non-photorealistic rendering
Xiang Li 0002	non-photorealistic rendering
Ann A. Copestake	non-photrealistic rendering
Jinghai Rao	Nonrigid shape and motion estimation
Kimon P. Valavanis	Nonrigid shape and motion estimation
Jos&eacute; Valdeni de Lima	Nonstationary hidden Markov models
Joseph G. Peters	Nonstationary hidden Markov models
Lixia Zhang	Nonstationary hidden Markov models
Manfred K. Lang	Nonstationary hidden Markov models
Mike Jackson	Nonstationary hidden Markov models
Roland Meyer	Nonstationary hidden Markov models
Romuald Thion	nonuniform memory access
Ronitt Rubinfeld	nonuniform memory access
Alfredo Ferro	Normalized Edit Distance
Lyle A. McGeoch	Normalized Edit Distance
Antonio Albano	NP-hardness
Florentina Bunea	NP-hardness
Manish Parashar	NP-hardness
Peter Struss	NP-hardness
Alexander Serebrenik	NPR
B&eacute;atrice Rivi&egrave;re	NPR
Kenneth S&ouml;rensen	NPR
Kristina Scherbaum	NPR
Malay Ghosh	NPR
Patricia M. Hill	NPR
Stephen Wan	NPR
Ken Thompson	NSDL
Arno Siebes	Nullstellensatz proofs
Ofer Strichman	number theory
Piero P. Bonissone	number theory
Guangyi Chen	NURBS
Ian Wakeman	NURBS
Jae W. Lee	NURBS
John A. Chandy	NURBS
John W. Lloyd	NURBS
Kathleen F. McCoy	NURBS
Vasco Brattka	NURBS
Klaus-Dieter Schewe	NURBS rendering
Nicolai Vorobjov	NURBS rendering
S&eacute;verin Lemaignan	NURBS rendering
Klaus W. Wagner	obfuscation
Ulrich Zukowski	obfuscation
Zoran Radovic	obfuscation
Lu Yan	OBI
Manfred K. Lang	OBI
Murray Turoff	OBI
S&aacute;ndor V&aacute;gv&ouml;lgyi	OBI
Stephen D. Franklin	OBI
Patr&iacute;cia Augustin Jaques	OBIWAN
Yoel Shkolnisky	OBIWAN
M. M. Waliullah	object encapsulation
Maximilian Eibl	object encapsulation
Shengyue Ji	object encapsulation
Lorrie Faith Cranor	object migration
Tao Yang II	object migration
Alexandra Psarrou	Object recognition
Ashvin Goel	object recognition
Bina Ramamurthy	Object recognition
Calin Cascaval	object recognition
D. Russell Luke	Object recognition
Daniel Cutting	Object recognition
Daniela Tulone	object recognition
David B. Wortman	object recognition
Donal O'Regan	object recognition
Elena Mugellini	object recognition
Eugene Santos Jr.	object recognition
Fabio Kon	object recognition
Giuseppe Pirr&ograve;	object recognition
Helmut Reiser	object recognition
Jacques Verstra&euml;te	object recognition
Jan Van den Bussche	Object recognition
Jan Vitek	Object Recognition
Jean-Pierre Barth&eacute;lemy	object recognition
Jeffrey S. Rosenschein	object recognition
John V. Carlis	object recognition
Juan Touri&ntilde;o	object recognition
Klara Nahrstedt	object recognition
Li Ding	object recognition
Lloyd Allison	object recognition
Lois M. L. Delcambre	object recognition
Ludger Becker	Object Recognition
Ludger Humbert	Object recognition
Malte Helmert	object recognition
Mark H. Hansen	Object recognition
Michael S. Branicky	object recognition
Michelangelo Grigni	Object Recognition
Mirna Dzamonja	Object recognition
Mona T. Diab	Object Recognition
Omar Abou Khaled	object recognition
Partha Pratim Pal	object recognition
Patrick Riley	Object recognition
Peter Weinstein	object recognition
Peter Widmayer	Object Recognition
Philippas Tsigas	object recognition
Pierre M. Fiorini	object recognition
Roman Dementiev	object recognition
Sanjoy K. Mitter	Object recognition
Sape J. Mullender	object recognition
Sebasti&aacute;n Urrutia	Object Recognition
Shakuntala Baichoo	object recognition
Stefanos D. Kollias	object recognition
Tainchi Lu	Object Recognition
Thomas Wilke	Object recognition
Timothy J. Long	object recognition
V&iacute;ctor M. Jim&eacute;nez	Object Recognition
Wasfi S. Kafri	object recognition
Zoltan J. Koles	object recognition
Zoltan Somogyi	object recognition
Arjun K. Gupta	object segmentation
Ebrahim Nasrabadi	object segmentation
Fabiano Sarracco	Object simplification
Marco Winckler	Object simplification
Mark Sh. Levin	Object simplification
R. Mike Cameron-Jones	Object simplification
Eliezer Kantorowitz	object-based
Mehdi Jazayeri	object-based
Ilsun You	Objective evaluation
Juha R&ouml;ning	Objective evaluation
Uwe Waldmann	Objective evaluation
Alejandro P. Buchmann	Object-Orientation
Maciej Golebiewski	object-orientation
Manoj Franklin	Object-Orientation
Sudhakar Yalamanchili	object-orientation
Enrique Fr&iacute;as-Mart&iacute;nez	Object-oriented analysis and design
Tarek M. Sobh	Object-oriented analysis and design
Rajmohan Rajaraman	Object-oriented databases
Shahar Maoz	Object-oriented databases
Syvert P. N&oslash;rsett	object-oriented graphics
Tamara Munzner	object-oriented graphics
Evan Goris	object-oriented language
Bruce R. Schatz	object-oriented methods
Essia Hamouda Elhafsi	object-oriented methods
Fabrizio Riguzzi	object-oriented methods
Karl Sammut	object-oriented methods
P. Glenn Gulak	object-oriented methods
William T. Trotter	object-oriented methods
Agostino Cortesi	object-oriented programming
Emmanuel Nauer	object-oriented programming
Kenneth A. Ross	object-oriented programming
Leonid Reyzin	object-oriented programming
Mohamed Naimi	object-oriented programming
Walid S. Saba	object-oriented programming
Wasim Sadiq	object-oriented programming
Alexander C. Loui	object-oriented software engineering
Guangshun Chen	object-oriented software engineering
Michael A. Harrison	object-oriented software engineering
Andreas Listl	object-oriented software evolution
Eric Miller	object-oriented software evolution
Jules Desharnais	Object-oriented software. Reusability. Hierarchical dependence. Independence principle. Design for reuse.
Sergio Palazzo	Object-oriented software. Reusability. Hierarchical dependence. Independence principle. Design for reuse.
Francesco Vigan&ograve;	Object-oriented views
Michael Alekhnovich	Object-oriented views
Mihai Oltean	Object-oriented views
Martin S. Olivier	objects
P. J. Narayanan	objects
Andrea Tettamanzi	Object-Z
Peter H. Feiler	occlusion
Amos Lapidoth	Occlusion culling
Stefan N&auml;her	Occlusion culling
Arogyaswami Paulraj	OCL
Philippe Micheau	OCL
Hans Hagen	ODP
William Yang Wang	ODP
Louis Perrochon	off-line recognition
Pablo Fernandez	off-line recognition
Amitabha Roy	OLAP
Andreas Spillner 0002	OLAP
Andreas Uhl	OLAP
Elena Ferrari	OLAP
Eric C. Lin	OLAP
Fr&eacute;d&eacute;ric Flin	OLAP
John K. Johnstone	OLAP
Joost N. Kok	OLAP
Jos&eacute; Mar&iacute;a G&oacute;mez Hidalgo	OLAP
Lisa Neal	OLAP
Mrinal K. Mandal	OLAP
Randal J. Peters	OLAP
Randy Goebel	OLAP
Rehab M. Duwairi	OLAP
Ruly Lai-U Choi	OLAP
Tsvi Kuflik	OLAP
Ujjwal Bhattacharya	OLAP
V&eacute;ronique Benzaken	OLAP
Ashok S. Kolaskar	OneChip
James Fogarty	OneChip
Maria Cec&iacute;lia Calani Baranauskas	One-way functions
Renato Bruni	One-way functions
B. John Oommen	online algorithms
Kent A. Walstrom	online algorithms
Lydie du Bousquet	Online Algorithms
Paolo Volpe	Online Algorithms
